,monkey_population_post_predator,monkey_population_post_replication,monkey_state__State(burrow),monkey_state__State(grass),monkey_state__State(tree),monkey_state__optimal_response,predator,predator_phase_time,predator_phase_time__archiving,predator_phase_time__hunting,predator_phase_time__witnessing,replication_phase_time,replication_phase_time__archiving,replication_phase_time__mutated_reproduction,replication_phase_time__normal_reproduction,replication_stats__excess,replication_stats__mutation,replication_stats__no_mutation
0,93324,100000,33100.0,33473.0,33427.0,33473,Predator(nothing),3.600447177886963,3.384058713912964,0.21638846397399902,0.0,5.615961074829102,5.428547143936157,0.12493014335632324,0.062483787536621094,12585.0,4330,14931
1,43102,51997,33229.0,33466.0,33305.0,33229,Predator(eagle),3.0518741607666016,2.5359318256378174,0.5159423351287842,0.0,2.931384563446045,2.853285551071167,0.06247544288635254,0.01562356948852539,,1999,6896
2,22198,26778,16527.0,18676.0,16794.0,16794,Predator(snake),2.013089656829834,1.7315528392791748,0.2815368175506592,0.0,1.2659087181091309,1.2145116329193115,0.03573775291442871,0.015659332275390625,,1029,3551
3,18163,21911,17836.0,6387.0,2555.0,17836,Predator(eagle),0.6870405673980713,0.5464584827423096,0.14058208465576172,0.0,0.4769001007080078,0.44565844535827637,0.015619277954101562,0.015622377395629883,,842,2906
4,9523,11487,7141.0,7392.0,7378.0,7378,Predator(snake),0.896486759185791,0.8216869831085205,0.07479977607727051,0.0,0.22042393684387207,0.21147871017456055,0.0059528350830078125,0.002992391586303711,,441,1523
5,7736,9331,1138.0,2864.0,7485.0,7485,Predator(snake),0.22834491729736328,0.1994342803955078,0.02891063690185547,0.0,0.2513272762298584,0.24231243133544922,0.004984378814697266,0.004030466079711914,,358,1237
6,6337,7643,889.0,2226.0,6216.0,6216,Predator(snake),0.23038578033447266,0.19248223304748535,0.037903547286987305,0.0,0.18649864196777344,0.17752432823181152,0.005981922149658203,0.002992391586303711,,293,1013
7,1083,1306,201.0,865.0,6577.0,201,Predator(eagle),0.04487895965576172,0.026895761489868164,0.017983198165893555,0.0,0.02697610855102539,0.025978565216064453,0.0009975433349609375,0.0,,50,173
8,1205,1452,79.0,172.0,1055.0,172,Predator(nothing),0.03390669822692871,0.030917644500732422,0.002989053726196289,0.0,0.03186988830566406,0.030916452407836914,0.0009534358978271484,0.0,,55,192
9,1315,1585,104.0,215.0,1133.0,215,Predator(nothing),0.029967784881591797,0.025934696197509766,0.004033088684082031,0.0,0.028922319412231445,0.027928590774536133,0.0009937286376953125,0.0,,60,210
10,1463,1764,134.0,259.0,1192.0,259,Predator(nothing),0.03186631202697754,0.027880191802978516,0.0039861202239990234,0.0,0.031946659088134766,0.03094792366027832,0.0009987354278564453,0.0,,67,234
11,1002,1208,364.0,446.0,954.0,954,Predator(snake),0.020943641662597656,0.0169525146484375,0.003991127014160156,0.0,0.010081052780151367,0.009082555770874023,0.0,0.0009984970092773438,,46,160
12,900,1084,84.0,208.0,916.0,916,Predator(snake),0.03127455711364746,0.03127455711364746,0.0,0.0,0.01562190055847168,0.01562190055847168,0.0,0.0,,41,143
13,807,973,842.0,161.0,81.0,842,Predator(eagle),0.015628814697265625,0.015628814697265625,0.0,0.0,0.02195906639099121,0.02195906639099121,0.0,0.0,,37,129
14,885,1067,39.0,112.0,822.0,112,Predator(nothing),0.015957355499267578,0.01296234130859375,0.002995014190673828,0.0,0.016997814178466797,0.015998125076293945,0.0009996891021728516,0.0,,41,141
15,984,1186,52.0,142.0,873.0,142,Predator(nothing),0.015655040740966797,0.015655040740966797,0.0,0.0,0.015622138977050781,0.015622138977050781,0.0,0.0,,45,157
16,1084,1307,80.0,171.0,935.0,171,Predator(nothing),0.01561880111694336,0.01561880111694336,0.0,0.0,0.01562047004699707,0.01562047004699707,0.0,0.0,,50,173
17,222,267,67.0,159.0,1081.0,67,Predator(eagle),0.015623092651367188,0.015623092651367188,0.0,0.0,0.0,0.0,0.0,0.0,,10,35
18,257,309,79.0,63.0,125.0,63,Predator(nothing),0.0,0.0,0.0,0.0,0.015588521957397461,0.015588521957397461,0.0,0.0,,11,41
19,79,94,48.0,81.0,180.0,48,Predator(eagle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3,12
20,36,42,48.0,20.0,26.0,26,Predator(snake),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1,5
21,13,15,23.0,14.0,5.0,5,Predator(snake),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,2
22,8,9,5.0,2.0,8.0,5,Predator(eagle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1
23,9,10,1.0,2.0,6.0,2,Predator(nothing),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1
24,8,9,2.0,2.0,6.0,2,Predator(nothing),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1
25,9,10,4.0,3.0,2.0,3,Predator(nothing),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,1
26,6,6,4.0,2.0,4.0,4,Predator(eagle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
27,6,6,1.0,4.0,1.0,4,Predator(nothing),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
28,2,2,1.0,4.0,1.0,1,Predator(snake),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
29,1,1,1.0,1.0,,1,Predator(nothing),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
30,0,0,,,1.0,0,Predator(eagle),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
